InchiKey,SMILES,logBB,BBclass,fold
ADXGNEYLLLSOAR-UHFFFAOYSA-N,Cc5nc(C)c4CCC(=O)N(Cc1ccc(cc1)c2ccccc2c3nnn[nH]3)c4n5,,1,7
AEJOEPSMZCEYJN-UHFFFAOYSA-N,c1(ccccc1)[C@H](CN1CCCC1)N(C(=O)Cc1ccc(c(c1)Cl)Cl)C,,1,1
AELCINSCMGFISI-UHFFFAOYSA-N,NC1CC1c2ccccc2,,1,7
AEOCXXJPGCBFJA-UHFFFAOYSA-N,CCc1cc(ccn1)C(N)=S,,1,5
AEOOLRRTECSMIN-UHFFFAOYSA-N,CNC2CCN3c1ccccc1CCc4cccc2c34,,1,7
AEQDJSLRWYMAQI-UHFFFAOYSA-N,COc1c(OC)ccc(c12)C[C@H]3c4c(CCN3C2)cc(OC)c(c4)OC,-0.07,1,10
AERLHOTUXIJQFV-UHFFFAOYSA-N,O=C4C3C1C=CC(C2C=CC12)C3C(=O)N4CCCCN5CCN(CC5)c6ncccn6,,1,3
AFABGHUZZDYHJO-UHFFFAOYSA-N,CC(C)CCC,0.974956725,1,4
AFBYHZACPPSJKD-UHFFFAOYSA-N,CN(C)CCCN2c1ccccc1C=Cc3ccccc23,,1,10
AFCGFAGUEYAMAO-UHFFFAOYSA-N,CC(=O)NCCC[S](O)(=O)=O,,0,3
AFFLGGQVNFXPEV-UHFFFAOYSA-N,C=CCCCCCCCC,0.95999999,1,8
AFZOCGNTFCGOEE-UHFFFAOYSA-N,CCC24CCN(CC1CC1)C(Cc3ccc(O)cc23)C4(C)C,,1,7
AGAHNABIDCTLHW-UHFFFAOYSA-N,Cc1ccc(cc1)C3(O)CCN(CCCC(=O)c2ccc(F)cc2)CC3,,1,9
AGBTZJDOBMDLPR-UHFFFAOYSA-N,CN1CCC3=C(CC1)c2cc(C#N)ccc2Sc4ccccc34,,1,6
AGOYDEPGAOXOCK-UHFFFAOYSA-N,CCC3OC(=O)C(C)C(OC1CC(C)(OC)C(O)C(C)O1)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(CC(C)C(=O)C(C)C(O)C3(C)O)OC,,0,3
AGPJYMKPDQMPIB-UHFFFAOYSA-N,CN2C(=CC=1[S]C=CC=1[S]2(=O)=O)C(=O)NC=3C=CC=CN=3,,1,2
AHCPKWJUALHOPH-UHFFFAOYSA-N,Clc3cnn(CCCCN1CCN(CC1)c2ncccn2)c3,,1,6
AHDBQMJRRXVRDY-UHFFFAOYSA-N,CC3(C)CN(CCN1CCN(C1=O)c2cccc(Cl)c2)C3,,1,8
AHEVKYYGXVEWNO-UHFFFAOYSA-N,CN(C)C2C1CC4C(=C(O)C1(O)C(=O)C(=C2O)C(=O)NCNCCCCC(N)C(O)=O)C(=O)c3c(O)cccc3C4(C)O,,0,7
AHKAOMZZTQULDS-UHFFFAOYSA-N,O=C(OC1CN2CCC1CC2)c3ccccc3,,1,7
AHOUBRCZNHFOSL-UHFFFAOYSA-N,FC(C=C1)=CC=C1[C@H]2C(COC3=CC=C(OCO4)C4=C3)CNCC2,0.52,1,6
AIFRHYZBTHREPW-UHFFFAOYSA-N,c1cncc(c1c23)[nH]c2cccc3,0.48,1,10
AIJTTZAVMXIJGM-UHFFFAOYSA-N,CC1CN(CCN1)c2cc3N(C=C(C(O)=O)C(=O)c3c(C)c2F)C4CC4,,0,5
AIUHRQHVWSUTGJ-UHFFFAOYSA-N,CC(=O)OCCN4CCN(CCCN2c1ccccc1Sc3ccc(Cl)cc23)CC4,,1,10
AIZFEOPQVZBNGH-UHFFFAOYSA-N,O=C2CN=C(c1ccccc1)c3c(N2)sc4CCCCc34,,1,8
AJDSHXKJJDQZCJ-UHFFFAOYSA-N,CN(C)CCC(C1CCCCC1)c2ccccc2,,1,8
AJLFOPYRIVGYMJ-UHFFFAOYSA-N,CCC(C)C(=O)OC2CCC=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23,,1,9
AJOQSQHYDOFIOX-UHFFFAOYSA-N,CCC(C(=O)NC(N)=O)c1ccccc1,,1,6
AJQCDZXJUGAKIQ-UHFFFAOYSA-N,C1COCC1CCCNC(=O)C2=CC=CC=C2C#N,,0,3
AJXPJJZHWIXJCJ-UHFFFAOYSA-N,CN1C(=O)CC(C)(C1=O)c1ccccc1,,1,2
AKGNEJHNADLZKW-UHFFFAOYSA-N,CC13C=CC(=O)C1C(=O)CCC4C2CCC(O)(C(=O)CO)C2(C)CC(O)C34,,1,3
AKNNEGZIBPJZJG-UHFFFAOYSA-N,COc2ccc1C(OC(=O)c1c2OC)C4N(C)CCc5cc3OCOc3c(OC)c45,,1,5
AKPLHCDWDRPJGD-UHFFFAOYSA-N,c1c(Cl)ccc(c12)NC(=O)CN=C2c3ccccc3,0.523749998,1,8
AKUJBENLRBOFTD-UHFFFAOYSA-N,CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)COC(C)=O,,1,4
ALARQZQTBTVLJV-UHFFFAOYSA-N,CCC1(C(=O)NC(=O)N(C)C1=O)c1ccccc1,,1,5
ALELTFCQZDXAMQ-UHFFFAOYSA-N,CC(CC2c1ccccc1CCc3ccccc23)CN(C)C,,1,5
ALEXXDVDDISNDU-UHFFFAOYSA-N,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(O)CC34C,,1,3
ALFGKMXHOUSVAD-UHFFFAOYSA-N,CCC(=O)C1(CCN(C)CC1)c2cccc(O)c2,,1,10
ALHZOZGEQMHCRV-UHFFFAOYSA-N,c1cc(F)ccc1C(=O)CCCN(CC2)CCC23C(=O)NCN3c4ccc(Br)cc4,0.07,1,8
ALHZOZGEQMHCRV-UHFFFAOYSA-O,O=C(CCC[NH+]1CCC2(CC1)C(=O)NCN2c1ccc(Br)cc1)c1ccc(F)cc1,0.07,1,3
ALOBUEHUHMBRLE-UHFFFAOYSA-N,CCCCCCCN(CC)CCC[C@](O)([H])C1=CC=C(C=C1)N[S](C)(=O)=O,,1,7
ALWKGYPQUAPLQC-UHFFFAOYSA-N,C[N+](C)(C)C1=CC=CC(=C1)OC(=O)N(C)C,,0,9
AMEWZCMTSIONOX-UHFFFAOYSA-N,C1CC(CCN1)CCc2cc(nc3ccccc23)c4ccccc4,,1,1
AMJPIGOYWBNJLP-UHFFFAOYSA-N,CN(C)CCC1(C)OCCC2=C1Cc3ccccc23,,1,3
AMKVXSZCKVJAGH-UHFFFAOYSA-N,O=S(CCC1=CC(C(C2CCN(C)CC2)=CN3)=C3C=C1)(NC)=O,-0.46,1,3
AMMYEZPDRKXESR-UHFFFAOYSA-N,CC(N)C(=O)OC(C(=O)NC2C1SCC(=C(N1C2=O)C(=O)OCc3oc(=O)oc3C)CSc4nnc(C)s4)c5ccccc5,,0,1
AMOPFYYMAQCKEB-UHFFFAOYSA-N,NC=1CCN(C(=O)N=1)[C@@]2([H])C[S][C@]([H])(CO)O2,,1,2
AMQJEAYHLZJPGS-UHFFFAOYSA-N,CCCCCO,0.202141252,1,5
ANGKOCUUWGHLCE-UHFFFAOYSA-N,C[N+]1(C)CC[C@@]([H])(C1)OC(=O)[C@@](O)(C=2C=CC=CC=2)[C@]3([H])CCCC3,,0,1
ANJTVLIZGCUXLD-UHFFFAOYSA-N,C1C2CNCC1C3=CC=CC(=O)N3C2,-1.09,0,4
ANPJDCDLXKNSPS-UHFFFAOYSA-N,CCC1(NCC(=O)NC1=O)c2ccccc2,,1,3
ANTSCNMPPGJYLG-UHFFFAOYSA-N,CNC2=Nc1ccc(Cl)cc1C(=N(=O)C2)c3ccccc3,,1,4
ANUCDXCTICZJRH-UHFFFAOYSA-N,CC1COC2(N1CC(=O)Nc3ccc(Cl)cc23)c4ccccc4Cl,,1,8
AOJJSUZBOXZQNB-UHFFFAOYSA-N,COc4cccc5C(=O)c3c(O)c2CC(O)(CC(OC1CC(N)C(O)C(C)O1)c2c(O)c3C(=O)c45)C(=O)CO,-0.82999999,1,3
AOJJSUZBOXZQNB-UHFFFAOYSA-O,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC([NH3+])C(O)C(C)O1,-0.82999998,1,6
APBVLLORZMAWKI-UHFFFAOYSA-N,NC(=O)C2c1ccccc1CCc3ccccc23,,1,5
APGDTXUMTIZLCJ-UHFFFAOYSA-N,CC34CC(O)C1C(CCC2=CC(=O)C=CC12C)C3CCC4(O)C(=O)COC(=O)CCC(O)=O,,1,5
AQCHWTWZEMGIFD-UHFFFAOYSA-N,C/C1=C/C=C/C=C1/N3C(=O)C=2C=C(C([Cl])=CC=2N[C@@]3(C)[H])[S](N)(=O)=O,,1,1
AQFFJGJVFJCQQL-UHFFFAOYSA-N,O=C(NC1CCN(CC1)Cc3ccc2ccccc2c3)NC(=O)c4ccccc4,,1,7
AQHHHDLHHXJYJD-UHFFFAOYSA-N,CC(C)NCC(O)COc1cccc(c12)cccc2,0.764999989,1,10
AQHHHDLHHXJYJD-UHFFFAOYSA-O,CC(C)[NH2+]CC(O)COc1cccc2ccccc12,1.11,1,9
AQIXAKUUQRKLND-UHFFFAOYSA-N,CC1=C(CSCCN/C(NC)=N/C#N)N=CN1,-1.254999975,0,1
AQMNNXSLDLIGII-UHFFFAOYSA-N,CSc3ccc2Sc1ccccc1N(CC(C)CN(C)C)c2c3,,1,8
AQYKQVZJARJBMR-UHFFFAOYSA-N,CC1=NC(N2CCN(CCO)CC2)=CC(NC3=NC=C(C(NC4=C(Cl)C=CC=C4Cl)=O)S3)=N1,-1.3,0,3
ARAIBEBZBOPLMB-UHFFFAOYSA-N,CC(=O)N[C@]1([H])[C@@]([H])(C=C(O[C@]1([H])[C@](O)([H])[C@@](O)([H])CO)C(O)=O)NC(=N)N,,0,5
ARGVHRJDSYAVMQ-UHFFFAOYSA-O,C(Cc1c(C)[n+](C)cs1)OC(C2=CC(c1c(cc(cc1N2)[Cl])[Cl])=O)=O,-0.78,1,6
ARPLCFGLEYFDCN-UHFFFAOYSA-N,CC4CC3C2CC(F)C1=CC(=O)C=CC1(C)C2(Cl)C(O)CC3(C)C4C(=O)COC(C)=O,,1,5
ARTQJVJUAAGJGI-UHFFFAOYSA-N,c1(CC(N2[C@H](CN(CC2)C(=O)C)C[N@]2CC[C@H](O)C2)=O)ccc([S@](=O)C)cc1,,0,8
ARUGKOZUKWAXDS-UHFFFAOYSA-N,CCC#CC[C@@](C)([H])[C@](O)([H])C#C[C@]2([H])[C@@]1([H])C/C(=C\COCC(O)=O)C[C@]1([H])C[C@@]2(O)[H],,1,6
ASKBPIDMAJTIHH-UHFFFAOYSA-N,O=C(N)Cc1ccc(OCC(NC(C)C)O)cc1,-1.42,0,6
ASUTZQLVASHGKV-UHFFFAOYSA-N,C1CN(C)Cc2ccc(OC)c(c2C134)OC3CC(O)C=C4,0.319999995,1,3
ASUTZQLVASHGKV-UHFFFAOYSA-O,COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2,0.31999999,1,1
ASVQCPUSQNFHHU-UHFFFAOYSA-N,Cc1c(N2CCN(c3ncccn3)CC2)nnc(c4ccccc4)c1,0.18,1,6
ASWVTGNCAZCNNR-UHFFFAOYSA-N,C/C2=C/C(C)=NC(N[S](=O)(=O)C1=C/C=C(/N)C=C1)=N2,,1,10
ASXBYYWOLISCLQ-UHFFFAOYSA-N,CNC1C(O)C(O)C(CO)OC1OC2C(OC(C)C2(O)CO)OC3C(O)C(O)C(NC(N)=N)C(O)C3NC(N)=N,,0,3
ATEBXHFBFRCZMA-UHFFFAOYSA-N,COC6C=COC5(C)Oc4c(C)c(O)c3C(=O)C(=C2NC1(CCN(CC1)CC(C)C)N=C2c3c4C5=O)NC(=O)C(=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C6C)C,,0,8
ATFPKCCWKBNASV-UHFFFAOYSA-N,CC1CCN(CC1)C(=O)c(c2)ccc3n(CC=C)c(c4c23)CCN(C4)CC5CC5,-0.13,1,1
ATTHVGBIVYJECI-UHFFFAOYSA-N,c1(cc(c(cc1)Cl)Cl)CC(N1[C@@H](c2c(CC1)cccc2)CN1CCCC1)=O,,1,3
AUICMICNMSEVKA-UHFFFAOYSA-N,C[C@@]([H])(CCN(CC)CCO)NC=1C=CN=C2/C=C(/[Cl])C=CC=12,,1,7
AUNGANRZJHBGPY-UHFFFAOYSA-N,C/C3=C/C=2N=C1C(=NC(=O)NC1=O)N(C[C@](O)([H])[C@@](O)([H])[C@@](O)([H])CO)C=2/C=C3/C,,1,3
AURFZBICLPNKBZ-UHFFFAOYSA-N,CC(=O)C3CCC4C2CCC1CC(O)CCC1(C)C2CCC34C,,1,1
AUVLGULYQNVLGA-UHFFFAOYSA-N,C/C1=C/N(C(=O)N=C1N)[C@@]2([H])C=C[C@]([H])(CO)O2,,1,1
AUVLZBKTWSCAIM-UHFFFAOYSA-N,CCCNC(=O)N1CC(OC1=O)c2ccccc2,,1,9
AUVVAXYIELKVAI-UHFFFAOYSA-N,CCC3CN2CCc1cc(OC)c(OC)cc1C2CC3CC4NCCc5cc(OC)c(OC)cc45,,0,9
AUZMDLDJTGPIEA-UHFFFAOYSA-N,CNCCC=C2c1ccccc1C(C)(C)c3ccccc23,,1,1
AUZONCFQVSMFAP-UHFFFAOYSA-N,CCN(CC)C(=S)SSC(=S)N(CC)CC,,1,1
AVKUERGKIZMTKX-UHFFFAOYSA-N,CC3(C)SC2C(NC(=O)C(N)c1ccccc1)C(=O)N2C3C(O)=O,,0,8
AVOLMBLBETYQHX-UHFFFAOYSA-N,CCC(=C)C(=O)c1ccc(OCC(O)=O)c(Cl)c1Cl,,0,1
AVWWVJUMXRXPNF-UHFFFAOYSA-N,C[N+](C)(C/C1=C/C=CC=C1)CCOC=2C=CC=CC=2,,0,9
AWKLBIOQCIORSB-UHFFFAOYSA-N,CCN(CC)CCn1cnc2n(C)c(=O)n(C)c(=O)c12,,1,5
AXIFLPLKZRNVDP-UHFFFAOYSA-N,c1cc(F)ccc1Cn(c(c23)cccc2)c(n3)[C@@H]4CCCN(C)C4,0.43,1,2
AXJPNVUUDXTSOL-UHFFFAOYSA-N,OCCN4CCCN(CCCN2c1ccccc1C=Cc3ccccc23)CC4,,1,7
AXKPFOAXAHJUAG-UHFFFAOYSA-N,NC(=O)C2(CCN(CCCC(=O)c1ccc(F)cc1)CC2)N3CCCCC3,,1,4
AYDSLXXUAYWCBG-UHFFFAOYSA-N,C=CCC(N)c1c(cccc1)-c2noc(c23)cccc3,0,1,3
AYDSLXXUAYWCBG-UHFFFAOYSA-O,C=CCC([NH3+])c1ccccc1-c1noc2ccccc12,0,1,8
AYDXAULLCROVIT-UHFFFAOYSA-N,CC[C@]([H])(C=1C=CC(=CC=1)N3CC=2C=CC=CC=2C3=O)C(O)=O,,1,5
AYIRNRDRBQJXIF-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(cc1)C(O)C(CF)NC(=O)C(Cl)Cl,,1,7
AYXYPKUFHZROOJ-UHFFFAOYSA-N,NCC(CC(C)C)CC(O)=O,-0.54,1,10
AYYHIZJKRIKWCE-UHFFFAOYSA-N,COc3ccc(Cn1c(C)c(CCN)c2cc(O)ccc12)cc3,,1,3
AZFLJNIPTRTECV-UHFFFAOYSA-N,C[C@@]34CCC2=C1CCC(=O)C=C1CC[C@]2([H])[C@@]3([H])CC[C@]4(O)CC#N,,1,7
AZFZKANGXPSDEA-UHFFFAOYSA-N,CNCC=C(c1ccc(Br)cc1)c2cccnc2,,1,7
AZGNYRUNQKZSJQ-UHFFFAOYSA-N,CC5(C)SC4C(NC(=O)C23CC1CC(CC(N)(C1)C2)C3)C(=O)N4C5C(O)=O,,0,3
AZJPPZHRNFQRRE-UHFFFAOYSA-N,CC4CC(=C)CC25CCN(CC1CCC1)C(Cc3ccc(O)cc23)C45,,1,7
AZJUFRDUYTYIHV-UHFFFAOYSA-N,CC(N(Cc1cnc(C)nc1N)C=O)=C(CCOC(=O)c2ccccc2)SC(=O)c3ccccc3,,1,7
AZVJMYITYIJLDD-UHFFFAOYSA-N,CCCCCCN1CCN(CC1)c2ccc(I)cc2,1.01,1,1
AZVJMYITYIJLDD-UHFFFAOYSA-O,CCCCCC[NH+]1CCN(c2ccc(I)cc2)CC1,1.01,1,2
BAINIUMDFURPJM-UHFFFAOYSA-N,O=C2NC1=CC=CC=C1N2CCCN3CCN(CC3)C([H])(C=4C=CC=CC=4)C=5C=CC=CC=5,,1,9
BAQKJENAVQLANS-UHFFFAOYSA-N,CCC(C(=O)OCCN1CCOC(C1C)c2ccccc2)c3ccccc3,,1,2
BAQLUVXNKOTTHU-UHFFFAOYSA-N,COc1cc(cc(OC)c1OC)C(=O)OCCN5CCN(CCCN3c2ccccc2Sc4ccc(Cl)cc34)CC5,,1,4
BBACKDMGYMXYLE-UHFFFAOYSA-N,O=C1NCCNC1c2cccs2,,1,3
BBEAQIROQSPTKN-UHFFFAOYSA-N,c12c3c4ccc1cccc2ccc3ccc4,0.23,1,1
BCAKESXANDHPNM-UHFFFAOYSA-N,CC(C)CC(N)C(=O)NC(CCCN)C(=O)NC(C(C)C)C(=O)NC(CCCN)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C=O,,0,10
BCGWQEUPMDMJNV-UHFFFAOYSA-N,CN(C)CCCN(c(c12)cccc1)c3c(CC2)cccc3,0.951000006,1,5
BCGWQEUPMDMJNV-UHFFFAOYSA-O,C[NH+](C)CCCN1c2ccccc2CCc2ccccc21,1.0325,1,9
BCQZXOMGPXTTIC-UHFFFAOYSA-N,FC(F)(F)C(Cl)Br,0.293417651,1,4
BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,-0.135455024,1,2
BDHMBGHSWFWYSP-UHFFFAOYSA-N,NNCC1CCCCC1,,1,5
BDIAUFOIMFAIPU-UHFFFAOYSA-N,CC(C)CC(=O)OC2OC=C(COC(C)=O)C3=CC(OC(=O)CC(C)C)C1(CO1)C23,,1,9
BDJRBEYXGGNYIS-UHFFFAOYSA-N,OC(=O)CCCCCCCC(O)=O,,0,4
BDMYFOQWUPLTBP-UHFFFAOYSA-N,OC(C1=C[C@@H](OC(CC)CC)[C@@H](NCOC)[C@@H](N)C1)=O,-1.96,0,4
BDNMABJZSXTKAQ-UHFFFAOYSA-N,CCN(CC)CCCOC(=O)[C@]1(C[C@]2([H])CC[C@]1([H])C2)C3=CC=CC=C3,,1,10
BEWNZPMDJIGBED-UHFFFAOYSA-N,CC(NNC(=O)c1ccccc1)c2ccccc2,,1,8
BFHGFZIDLRXFJE-UHFFFAOYSA-N,C3CCN2CC4c1ccccc1CCc5cccc(C2C3)c45,,1,7
BFMBKRQFMIILCH-UHFFFAOYSA-N,CCN(CC)CC[C@@]1(CCC(=O)NC1=O)C2=CC=CC=C2,,1,6
BFUJHVVEMMWLHC-UHFFFAOYSA-N,Clc4ccc(OCC(=O)N1CCN(CC1)Cc3ccc2OCOc2c3)cc4,,1,6
BFWACMHTIVUWJS-UHFFFAOYSA-N,CN2C(=O)CC(=O)N(c1ccccc1)c3c(C)nn(C)c23,,1,3
BGJHUMNCODFLCH-UHFFFAOYSA-N,Clc1c(N(S(=O)(C)=O)CCO)c2c(NC(C(N2)=O)=O)cc1Cl,-2.15,0,3
BGKFPRIGXAVYNX-UHFFFAOYSA-N,c12c(cc(cc1NC(=CC2=O)C(=O)O)[Cl])[Cl],-13.27,0,5
BGRJTUBHPOOWDU-UHFFFAOYSA-N,CCN1CCCC1CNC(C2=C(OC)C=CC(S(N)(=O)=O)=C2)=O,-1.11,0,1
BGSZAXLLHYERSY-UHFFFAOYSA-N,CC(=O)O[C@@]5([H])[C@]4(C)CC[C@]2([H])[C@@]([H])(CC[C@]1([H])C[C@@]([H])(OC(C)=O)[C@]([H])(C[C@@]12C)N3CCCCC3)[C@@]4([H])C[C@@]5([H])[N+]6(C)CCCCC6,,0,8
BHELIUBJHYAEDK-UHFFFAOYSA-N,CNC(=O)CC(N)C(=O)NC(C(=O)NC2C1SC(C)(C)C(N1C2=O)C(O)=O)c3ccc(O)cc3,,0,7
BHHDTFRLKOTSKW-UHFFFAOYSA-N,C1CN(CCN1)c3cc2ccccc2c(n3)c4ccccc4,,1,6
BIAVGWDGIJKWRM-UHFFFAOYSA-N,c1ccc2nc(c(c(C(N[C@@H](CC)c3ccccc3)=O)c2c1)O)c1ccccc1,,1,4
BIDUPMYXGFNAEJ-UHFFFAOYSA-N,COC2C(O)C(N)C(OC1OC(CCC1N)C(C)N)C(O)C2N(C)C(=O)CN,,0,7
BIHPCFKKWGRUSS-UHFFFAOYSA-N,O=C1N2C(c3nc4cc(O)c(CN(C)C)cc4cc3C2)=CC5=C1COC([S@]5(O)CC)=O,-0.42,1,3
BISFDZNIUZIKJD-UHFFFAOYSA-N,CC(C)(C)C(=O)SCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(O)CC34C,,1,10
BITWVVLBVUMFHU-UHFFFAOYSA-N,ClCCC(=O)NCCc1ccccc1,,1,1
BJFSLTHXSJFXGR-UHFFFAOYSA-N,CC(=O)CC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2(Cl)C(Cl)CC34C,,1,9
BJHCGMHPEKLROM-UHFFFAOYSA-N,Cc1nccnc1N2CCCCC2,,1,8
BJRXFVVSVWUGSV-UHFFFAOYSA-N,c1cc2c(c(OCCNC(Cc3ncccc3)=O)c(c3ccccc3)nc2cc1)C(N[C@@H](CC)c1ccccc1)=O,,0,6
BJUHVJHOJBHLJS-UHFFFAOYSA-N,CCN1CCC(C1)=C(c2ccccc2)c3ccccc3,,1,2
BJVVMKUXKQHWJK-UHFFFAOYSA-N,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,,1,5
BJWAPFORUPUXRJ-UHFFFAOYSA-N,OCCN4CCN(CCCC2c1ccc(F)cc1Sc3ccc(cc23)C(F)(F)F)CC4,,1,2
BJZZDOLVVLWFHN-UHFFFAOYSA-N,O=C(N(C1CCN(CC1)CCc2ccccc2)c3cnccn3)c4ccco4,,1,5
BKIMMITUMNQMOS-UHFFFAOYSA-N,CCCCCCCCC,0.51999999,1,9
BKPLVPRTTWIDNL-UHFFFAOYSA-N,CC(=O)OC(C1CCCCN1)c2ccccc2,,1,1
BKRGVLQUQGGVSM-UHFFFAOYSA-N,CCN(CC)C(=O)NC2CN(C)C1Cc3c[nH]c4cccc(C1=C2)c34,,1,4
BKWXCVZIALOBBS-UHFFFAOYSA-N,O=C(N1CCC(CNc2ncccc2)CC1)OCc3ccccc3,-0.02,1,7
BKXBVNZUQILPOP-UHFFFAOYSA-N,Cc1cccc(C2CNCC3)c1Oc(c4C23O)cccc4,0.51999999,1,8
BKXBVNZUQILPOP-UHFFFAOYSA-O,Cc1cccc2c1Oc1ccccc1C1(O)CC[NH2+]CC21,0.51999998,1,7
BLDDGMGJMJZSOI-UHFFFAOYSA-N,CC4(C)SC3C(NC(=O)C(Oc1ccccc1)c2ccccc2)C(=O)C3C4C(O)=O,,0,9
BLFLLBZGZJTVJG-UHFFFAOYSA-N,CCOC(=O)c1ccc(N)cc1,0.270000005,1,5
BLGFGFHRMMDRPC-UHFFFAOYSA-N,CCOC2c1ccccc1N(C)C(=O)c3ccccc23,,1,8
BLGXFZZNTVWLAY-UHFFFAOYSA-N,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,,0,3
BLJRIMJGRPQVNF-UHFFFAOYSA-N,CC(C)(C)NC[C@@](O)([H])CO/C1=N/[S]/N=C1/N2CCOCC2,,1,10
BLPUOQGPBJPXRL-UHFFFAOYSA-N,O=C(C=Cc2ccc1OCOc1c2)N3CCCCC3,,1,7
BLSQLHNBWJLIBQ-UHFFFAOYSA-N,CC(C)N1CCN(CC1)c2ccc(OC[C@H]3CO[C@@](Cn4cncn4)(O3)c5ccc(Cl)cc5Cl)cc2,,0,7
BLWHAZZXRHTFJE-UHFFFAOYSA-N,COC(C=CC(S(=O)(NC1=CC(Br)=CC(F)=C1Br)=O)=C2)=C2N3CCNCC3,-0.52,1,5
BLXXJMDCKKHMKV-UHFFFAOYSA-N,CC(=O)CC/C2=C/C=1C=CC(=CC=1C=C2)OC,,1,8
BMCQMVFGOVHVNG-UHFFFAOYSA-N,CCCC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1(C)C2C(O)CC34C)C(=O)CO,,1,4
BMGMDQXYYFNUGH-UHFFFAOYSA-N,CC(C)(C)CC(=O)OCC(=O)C14OC(C)(C)OC1CC5C3CC2=CC(=O)C=CC2(C)C3(F)C(O)CC45C,,1,5
BMKDZUISNHGIBY-UHFFFAOYSA-N,C[C@@H](CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,,0,9
BMPDWHIDQYTSHX-UHFFFAOYSA-N,OC1C2=C(C=CC=C2)N(C(N)=O)C3=C(C=CC=C3)C1,-0.59,1,5
